# data/reports/report-Feb-12-2015-17h03.txt
Generating reports for data/histories/generated/small/**/*.log
------------------------------------------------------------------------------
            data/histories/generated/small/**/*.log (timeout 10s)             
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.16.log   | Saturate      | 20    | 1.3 ± 0.5   | 0.0039s    | -
ScalObject-bkq.16.log   | Saturate+R    | 20    | 1.3 ± 0.5   | 0.0047s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.17.log   | Enumerate+C   | 6     | 1.0 ± 0.0   | 0.0495s    | √
ScalObject-bkq.17.log   | Counting(4)   | 6     | 1.0 ± 0.0   | 0.055s     | √
ScalObject-bkq.17.log   | Counting(4)+R | 6     | 1.0 ± 0.0   | 0.0494s    | √
ScalObject-bkq.17.log   | Counting(2)   | 6     | 1.0 ± 0.0   | 0.0482s    | √
ScalObject-bkq.17.log   | Counting(2)+R | 6     | 1.0 ± 0.0   | 0.0526s    | √
ScalObject-bkq.17.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 1.2258s    | -
ScalObject-bkq.17.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.2311s    | -
ScalObject-bkq.17.log   | Symbolic      | 6     | 1.0 ± 0.0   | 0.0115s    | √
ScalObject-bkq.17.log   | Symbolic+R    | 6     | 1.0 ± 0.0   | 0.012s     | √
ScalObject-bkq.17.log   | Saturate      | 6     | 1.0 ± 0.0   | 0.0037s    | √
ScalObject-bkq.17.log   | Saturate+R    | 6     | 1.0 ± 0.0   | 0.0033s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.18.log   | Enumerate+C   | 20    | 1.1 ± 0.3   | 0.3302s    | -
ScalObject-bkq.18.log   | Counting(4)   | 20    | 1.1 ± 0.3   | 0.5838s    | -
ScalObject-bkq.18.log   | Counting(4)+R | 20    | 1.1 ± 0.3   | 0.199s     | -
ScalObject-bkq.18.log   | Counting(2)   | 20    | 1.1 ± 0.3   | 0.9833s    | -
ScalObject-bkq.18.log   | Counting(2)+R | 20    | 1.1 ± 0.3   | 0.2184s    | -
ScalObject-bkq.18.log   | Counting(0)   | 20    | 1.1 ± 0.3   | 1.0631s    | -
ScalObject-bkq.18.log   | Counting(0)+R | 20    | 1.1 ± 0.3   | 0.2383s    | -
ScalObject-bkq.18.log   | Symbolic      | 20    | 1.1 ± 0.3   | 0.1943s    | -
ScalObject-bkq.18.log   | Symbolic+R    | 20    | 1.1 ± 0.3   | 0.0545s    | -
