# data/report-Dec-01-2014-17h41.txt
Generating reports for examples/generated/small/**/*.log
------------------------------------------------------------------------------
               examples/generated/small/**/*.log (timeout 10s)                
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.12.log   | Saturate      | 20    | 1.5±0.5     | 0.01s      | -
ScalObject-bkq.12.log   | Saturate+R    | 20    | 1.5±0.5     | 0.0081s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.13.log   | Enumerate+C   | 13    | 1.3±0.5     | 0.2207s    | √
ScalObject-bkq.13.log   | Counting(4)   | 13    | 1.3±0.5     | 0.1792s    | √
ScalObject-bkq.13.log   | Counting(4)+R | 13    | 1.3±0.5     | 0.1161s    | √
ScalObject-bkq.13.log   | Counting(2)   | 13    | 1.3±0.5     | 0.1694s    | √
ScalObject-bkq.13.log   | Counting(2)+R | 13    | 1.3±0.5     | 0.1274s    | √
ScalObject-bkq.13.log   | Counting(0)   | 20    | 1.3±0.5     | 1.1091s    | -
ScalObject-bkq.13.log   | Counting(0)+R | 20    | 1.3±0.5     | 0.2759s    | -
ScalObject-bkq.13.log   | Symbolic      | 13    | 1.3±0.5     | 0.05s      | √
ScalObject-bkq.13.log   | Symbolic+R    | 13    | 1.3±0.5     | 0.0203s    | √
ScalObject-bkq.13.log   | Saturate      | 15    | 1.4±0.5     | 0.0075s    | √
ScalObject-bkq.13.log   | Saturate+R    | 15    | 1.4±0.5     | 0.0093s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.14.log   | Enumerate+C   | 20    | 1.5±0.5     | 1.0798s    | -
ScalObject-bkq.14.log   | Counting(4)   | 20    | 1.5±0.5     | 0.7028s    | -
ScalObject-bkq.14.log   | Counting(4)+R | 20    | 1.5±0.5     | 0.3216s    | -
ScalObject-bkq.14.log   | Counting(2)   | 20    | 1.5±0.5     | 0.9132s    | -
ScalObject-bkq.14.log   | Counting(2)+R | 20    | 1.5±0.5     | 0.3372s    | -
ScalObject-bkq.14.log   | Counting(0)   | 20    | 1.5±0.5     | 1.1955s    | -
ScalObject-bkq.14.log   | Counting(0)+R | 20    | 1.5±0.5     | 0.3157s    | -
ScalObject-bkq.14.log   | Symbolic      | 20    | 1.5±0.5     | 0.3805s    | -
ScalObject-bkq.14.log   | Symbolic+R    | 20    | 1.5±0.5     | 0.1195s    | -
