history	object	algorithm	steps	concurrency	time	violation
ScalObject-bkq.21.log	atomic-queue	Counting(2)+R	20	2.2 ± 0.9	0.8561s	false
ScalObject-bkq.21.log	atomic-queue	Counting(0)	20	2.2 ± 0.9	1.8045s	false
ScalObject-bkq.21.log	atomic-queue	Counting(0)+R	20	2.2 ± 0.9	1.0759s	false
ScalObject-bkq.21.log	atomic-queue	Symbolic	20	2.2 ± 0.9	0.7526s	false
ScalObject-bkq.21.log	atomic-queue	Symbolic+R	20	2.2 ± 0.9	0.4994s	false
ScalObject-bkq.21.log	atomic-queue	Saturate	20	2.2 ± 0.9	0.0058s	false
ScalObject-bkq.21.log	atomic-queue	Saturate+R	20	2.2 ± 0.9	0.0058s	false
ScalObject-bkq.22.log	atomic-queue	Enumerate+C	15	1.1 ± 0.4	0.2079s	true
ScalObject-bkq.22.log	atomic-queue	Counting(4)	15	1.1 ± 0.4	0.1618s	true
ScalObject-bkq.22.log	atomic-queue	Counting(4)+R	15	1.1 ± 0.4	0.1177s	true
ScalObject-bkq.22.log	atomic-queue	Counting(2)	20	1.3 ± 0.5	0.7451s	false
ScalObject-bkq.22.log	atomic-queue	Counting(2)+R	20	1.3 ± 0.5	0.4435s	false
ScalObject-bkq.22.log	atomic-queue	Counting(0)	20	1.3 ± 0.5	1.3179s	false
ScalObject-bkq.22.log	atomic-queue	Counting(0)+R	20	1.3 ± 0.5	0.5112s	false
ScalObject-bkq.22.log	atomic-queue	Symbolic	15	1.1 ± 0.4	0.063s	true
ScalObject-bkq.22.log	atomic-queue	Symbolic+R	15	1.1 ± 0.4	0.0293s	true
ScalObject-bkq.22.log	atomic-queue	Saturate	15	1.1 ± 0.4	0.004s	true
ScalObject-bkq.22.log	atomic-queue	Saturate+R	15	1.1 ± 0.4	0.0041s	true
ScalObject-bkq.23.log	atomic-queue	Enumerate+C	20	2.5 ± 0.9	9.3243s	false
ScalObject-bkq.23.log	atomic-queue	Counting(4)	20	2.5 ± 0.9	0.7933s	false
ScalObject-bkq.23.log	atomic-queue	Counting(4)+R	20	2.5 ± 0.9	0.5929s	false
ScalObject-bkq.23.log	atomic-queue	Counting(2)	20	2.5 ± 0.9	1.1851s	false
ScalObject-bkq.23.log	atomic-queue	Counting(2)+R	20	2.5 ± 0.9	0.6682s	false
ScalObject-bkq.23.log	atomic-queue	Counting(0)	20	2.5 ± 0.9	1.1493s	false
ScalObject-bkq.23.log	atomic-queue	Counting(0)+R	20	2.5 ± 0.9	0.7592s	false
ScalObject-bkq.23.log	atomic-queue	Symbolic	20	2.5 ± 0.9	0.4889s	false
ScalObject-bkq.23.log	atomic-queue	Symbolic+R	20	2.5 ± 0.9	0.3249s	false
ScalObject-bkq.23.log	atomic-queue	Saturate	20	2.5 ± 0.9	0.0072s	false
ScalObject-bkq.23.log	atomic-queue	Saturate+R	20	2.5 ± 0.9	0.0067s	false
ScalObject-bkq.24.log	atomic-queue	Enumerate+C	17	1.6 ± 0.5	1.2285s	true
ScalObject-bkq.24.log	atomic-queue	Counting(4)	17	1.6 ± 0.5	0.2923s	true
ScalObject-bkq.24.log	atomic-queue	Counting(4)+R	17	1.6 ± 0.5	0.1753s	true
ScalObject-bkq.24.log	atomic-queue	Counting(2)	20	1.5 ± 0.5	0.8023s	false
ScalObject-bkq.24.log	atomic-queue	Counting(2)+R	20	1.5 ± 0.5	0.2739s	false
ScalObject-bkq.24.log	atomic-queue	Counting(0)	20	1.5 ± 0.5	1.0089s	false
ScalObject-bkq.24.log	atomic-queue	Counting(0)+R	20	1.5 ± 0.5	0.319s	false
ScalObject-bkq.24.log	atomic-queue	Symbolic	17	1.6 ± 0.5	0.1656s	true
ScalObject-bkq.24.log	atomic-queue	Symbolic+R	17	1.6 ± 0.5	0.0537s	true
ScalObject-bkq.24.log	atomic-queue	Saturate	18	1.6 ± 0.5	0.0048s	true
ScalObject-bkq.24.log	atomic-queue	Saturate+R	18	1.6 ± 0.5	0.0057s	true
ScalObject-bkq.25.log	atomic-queue	Enumerate+C	16	1.5 ± 0.5	0.4156s	true
ScalObject-bkq.25.log	atomic-queue	Counting(4)	16	1.5 ± 0.5	0.3024s	true
ScalObject-bkq.25.log	atomic-queue	Counting(4)+R	16	1.5 ± 0.5	0.1964s	true
ScalObject-bkq.25.log	atomic-queue	Counting(2)	20	1.5 ± 0.5	0.867s	false
ScalObject-bkq.25.log	atomic-queue	Counting(2)+R	20	1.5 ± 0.5	0.2979s	false
ScalObject-bkq.25.log	atomic-queue	Counting(0)	20	1.5 ± 0.5	1.6268s	false
