history	object	algorithm	removal	violation	timeout	stepout	steps	checks	size.min	size.max	size.mean	size.sigma	width.min	width.max	width.mean	width.sigma	weight.min	weight.max	weight.mean	weight.sigma	memory	time
ScalObject-msq.5.log	atomic-queue	Symbolic	true	false	true	false	424	211	0	26	11.695754716981131	5.209954183762504	1	5	3.5966981132075473	0.8393898737687734	0	23	9.910377358490566	4.377190593656822	15876	104.064816
ScalObject-msq.5.log	atomic-queue	Saturate	false	false	true	false	820	408	0	411	206.25	118.40488344011163	1	6	3.5012195121951217	1.0627439204249696	0	229	119.23048780487805	64.65057235056983	12076	100.013393
ScalObject-msq.5.log	atomic-queue	Saturate	true	false	true	false	2686	1341	0	283	75.11355174981385	73.18380820073611	1	6	3.7755026061057335	1.264267266531192	0	152	48.704020848845865	41.40626575968837	12056	100.014562
ScalObject-msq.6.log	atomic-queue	Enumerate	false	false	true	false	17	6	0	11	5.470588235294118	3.2038579685049933	1	6	3.588235294117647	1.3719886811400708	0	9	4.411764705882353	2.42535625036333	12580	100.014118
ScalObject-msq.6.log	atomic-queue	Bound(4)	false	false	true	false	54	25	0	29	14.907407407407407	7.8866223454383	1	6	3.8518518518518516	1.618378030416914	0	22	10.925925925925926	5.612828472892043	13012	131.401587
ScalObject-msq.6.log	atomic-queue	Bound(4)	true	false	true	false	90	43	0	29	13.566666666666666	7.064788457912678	1	6	4.311111111111111	1.3710034416272654	0	19	10.655555555555555	4.940456948140471	12852	113.077671
ScalObject-msq.6.log	atomic-queue	Symbolic	false	false	true	false	68	32	0	36	18.529411764705884	10.072084353841777	1	6	4.088235294117647	1.5134747419618957	0	27	13.75	7.517889113070098	16308	119.540514
ScalObject-msq.6.log	atomic-queue	Symbolic	true	false	true	false	102	49	0	35	15.735294117647058	8.943083472262026	1	6	4.392156862745098	1.306168630002243	0	23	11.911764705882353	5.7987758031653245	15408	112.662547
ScalObject-msq.6.log	atomic-queue	Saturate	false	false	true	false	843	419	0	423	212.08540925266905	121.58556535922284	1	6	3.6725978647686834	1.0971984463768518	0	232	117.80308422301304	66.03466044453448	11664	100.00539
ScalObject-msq.6.log	atomic-queue	Saturate	true	false	true	false	1980	989	0	258	61.405050505050504	58.87021700722268	1	6	3.628787878787879	1.0257323616178295	0	164	48.415151515151514	41.24266511389745	11632	100.011305
ScalObject-msq.7.log	atomic-queue	Enumerate	false	false	true	false	30	14	0	16	8.533333333333333	4.423552428982165	1	5	3.1	1.028892943728925	0	11	6.633333333333334	2.858542350187608	12920	100.006594
ScalObject-msq.7.log	atomic-queue	Bound(4)	false	false	true	false	55	26	0	29	14.745454545454546	8.021310001577929	1	5	3.018181818181818	0.871161614697617	0	20	10.181818181818182	4.974344956283967	13044	110.663486
ScalObject-msq.7.log	atomic-queue	Bound(4)	true	false	true	false	296	147	0	23	10.64527027027027	4.753501253181124	1	6	3.597972972972973	1.0785407338257096	0	17	7.780405405405405	3.2189725444416286	13636	100.580961
ScalObject-msq.7.log	atomic-queue	Symbolic	false	false	true	false	70	34	0	36	18.5	10.189153084516404	1	5	3.0142857142857142	0.7707112683834658	0	22	12.228571428571428	5.934842900064602	16056	108.553697
ScalObject-msq.7.log	atomic-queue	Symbolic	true	false	true	false	322	159	0	33	11.894409937888199	6.32514881996205	1	6	3.652173913043478	1.083785160885669	0	19	8.453416149068323	3.872501201050447	15456	101.239402
ScalObject-msq.7.log	atomic-queue	Saturate	false	false	true	false	876	435	0	440	220.4406392694064	126.54421209653852	1	6	3.8835616438356166	1.1504648936948318	0	248	126.60844748858447	69.5022523580646	12228	100.007175
ScalObject-msq.7.log	atomic-queue	Saturate	true	false	true	false	9067	4532	0	193	33.21153634057571	25.71841845007616	1	6	3.545715231057682	1.1042005630230256	0	102	27.79077975074446	18.53776116862132	12188	100.014235
ScalObject-msq.8.log	atomic-queue	Enumerate	false	false	true	false	19	8	0	11	5.894736842105263	3.2980589719494313	1	4	3.3684210526315788	0.9551338658818385	0	8	5.2631578947368425	2.600044983866366	12708	100.009277
ScalObject-msq.8.log	atomic-queue	Bound(4)	false	false	true	false	54	26	0	28	14.703703703703704	8.036777796139095	1	5	3.425925925925926	1.0389009405236018	0	18	9.944444444444445	4.598673585082808	13400	128.359005
ScalObject-msq.8.log	atomic-queue	Bound(4)	true	false	true	false	231	114	0	23	11.017316017316018	4.7088864814678875	1	6	3.5757575757575757	1.0962867016794995	0	21	9.813852813852813	4.505550041697685	12392	101.486592
