# data/reports/report-Feb-26-2015-00h13.txt
Generating reports for data/histories/generated/small/**/*.log
-------------------------------------------------------------------------------
             data/histories/generated/small/**/*.log (timeout 10s)             
-------------------------------------------------------------------------------
history                 | algorithm | r | ste | che | widt | weig | time    | v
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.11.log   | Enumerate | - | 20  | 10  | 1.4  | 4.0  | 1.2893  | -
ScalObject-bkq.11.log   | Bound(4)  | - | 20  | 10  | 1.4  | 4.0  | 0.8126  | -
ScalObject-bkq.11.log   | Bound(4)  | √ | 20  | 10  | 1.4  | 1.8  | 0.2674  | -
ScalObject-bkq.11.log   | Bound(2)  | - | 20  | 10  | 1.4  | 4.0  | 1.0352  | -
ScalObject-bkq.11.log   | Bound(2)  | √ | 20  | 10  | 1.4  | 1.8  | 0.2664  | -
ScalObject-bkq.11.log   | Bound(0)  | - | 20  | 10  | 1.4  | 4.0  | 1.2779  | -
ScalObject-bkq.11.log   | Bound(0)  | √ | 20  | 10  | 1.4  | 1.8  | 0.363   | -
ScalObject-bkq.11.log   | Symbolic  | - | 20  | 10  | 1.4  | 4.0  | 0.5748  | -
ScalObject-bkq.11.log   | Symbolic  | √ | 20  | 10  | 1.4  | 1.8  | 0.1642  | -
ScalObject-bkq.11.log   | Saturate  | - | 20  | 10  | 1.4  | 4.0  | 0.0081  | -
ScalObject-bkq.11.log   | Saturate  | √ | 20  | 10  | 1.4  | 1.8  | 0.0068  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.12.log   | Enumerate | - | 20  | 10  | 1.5  | 4.5  | 0.8069  | -
ScalObject-bkq.12.log   | Bound(4)  | - | 20  | 10  | 1.5  | 4.5  | 0.8267  | -
ScalObject-bkq.12.log   | Bound(4)  | √ | 20  | 10  | 1.5  | 2.8  | 0.3353  | -
ScalObject-bkq.12.log   | Bound(2)  | - | 20  | 10  | 1.5  | 4.5  | 1.1602  | -
ScalObject-bkq.12.log   | Bound(2)  | √ | 20  | 10  | 1.5  | 2.8  | 0.3812  | -
ScalObject-bkq.12.log   | Bound(0)  | - | 20  | 10  | 1.5  | 4.5  | 1.8148  | -
ScalObject-bkq.12.log   | Bound(0)  | √ | 20  | 10  | 1.5  | 2.8  | 0.5998  | -
ScalObject-bkq.12.log   | Symbolic  | - | 20  | 10  | 1.5  | 4.5  | 0.596   | -
ScalObject-bkq.12.log   | Symbolic  | √ | 20  | 10  | 1.5  | 2.8  | 0.1334  | -
ScalObject-bkq.12.log   | Saturate  | - | 20  | 10  | 1.5  | 4.5  | 0.0103  | -
ScalObject-bkq.12.log   | Saturate  | √ | 20  | 10  | 1.5  | 2.8  | 0.0093  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.13.log   | Enumerate | - | 13  | 6   | 1.3  | 2.8  | 0.3619  | √
ScalObject-bkq.13.log   | Bound(4)  | - | 13  | 6   | 1.3  | 2.8  | 0.2553  | √
ScalObject-bkq.13.log   | Bound(4)  | √ | 13  | 6   | 1.3  | 1.5  | 0.1066  | √
ScalObject-bkq.13.log   | Bound(2)  | - | 13  | 6   | 1.3  | 2.8  | 0.1566  | √
ScalObject-bkq.13.log   | Bound(2)  | √ | 13  | 6   | 1.3  | 1.5  | 0.1095  | √
ScalObject-bkq.13.log   | Bound(0)  | - | 20  | 10  | 1.3  | 4.1  | 1.258   | -
ScalObject-bkq.13.log   | Bound(0)  | √ | 20  | 10  | 1.3  | 2.3  | 0.2827  | -
ScalObject-bkq.13.log   | Symbolic  | - | 13  | 6   | 1.3  | 2.8  | 0.0517  | √
ScalObject-bkq.13.log   | Symbolic  | √ | 13  | 6   | 1.3  | 1.5  | 0.0221  | √
ScalObject-bkq.13.log   | Saturate  | - | 13  | 6   | 1.3  | 2.8  | 0.0049  | √
ScalObject-bkq.13.log   | Saturate  | √ | 13  | 6   | 1.3  | 1.5  | 0.0037  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.14.log   | Enumerate | - | 20  | 10  | 1.5  | 4.8  | 0.9728  | -
ScalObject-bkq.14.log   | Bound(4)  | - | 20  | 10  | 1.5  | 4.8  | 0.8744  | -
ScalObject-bkq.14.log   | Bound(4)  | √ | 20  | 10  | 1.5  | 1.8  | 0.3219  | -
ScalObject-bkq.14.log   | Bound(2)  | - | 20  | 10  | 1.5  | 4.8  | 1.244   | -
ScalObject-bkq.14.log   | Bound(2)  | √ | 20  | 10  | 1.5  | 1.8  | 0.3729  | -
ScalObject-bkq.14.log   | Bound(0)  | - | 20  | 10  | 1.5  | 4.8  | 1.3362  | -
ScalObject-bkq.14.log   | Bound(0)  | √ | 20  | 10  | 1.5  | 1.8  | 0.4034  | -
ScalObject-bkq.14.log   | Symbolic  | - | 20  | 10  | 1.5  | 4.8  | 0.4456  | -
ScalObject-bkq.14.log   | Symbolic  | √ | 20  | 10  | 1.5  | 1.8  | 0.1429  | -
ScalObject-bkq.14.log   | Saturate  | - | 20  | 10  | 1.5  | 4.8  | 0.005   | -
ScalObject-bkq.14.log   | Saturate  | √ | 20  | 10  | 1.5  | 1.8  | 0.0046  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.15.log   | Enumerate | - | 20  | 10  | 2.0  | 5.0  | 1.4754  | -
ScalObject-bkq.15.log   | Bound(4)  | - | 20  | 10  | 2.0  | 5.0  | 1.1118  | -
ScalObject-bkq.15.log   | Bound(4)  | √ | 20  | 10  | 2.0  | 3.0  | 0.4339  | -
ScalObject-bkq.15.log   | Bound(2)  | - | 20  | 10  | 2.0  | 5.0  | 1.048   | -
ScalObject-bkq.15.log   | Bound(2)  | √ | 20  | 10  | 2.0  | 3.0  | 0.459   | -
ScalObject-bkq.15.log   | Bound(0)  | - | 20  | 10  | 2.0  | 5.0  | 1.3684  | -
ScalObject-bkq.15.log   | Bound(0)  | √ | 20  | 10  | 2.0  | 3.0  | 0.5414  | -
ScalObject-bkq.15.log   | Symbolic  | - | 20  | 10  | 2.0  | 5.0  | 0.5483  | -
ScalObject-bkq.15.log   | Symbolic  | √ | 20  | 10  | 2.0  | 3.0  | 0.2446  | -
ScalObject-bkq.15.log   | Saturate  | - | 20  | 10  | 2.0  | 5.0  | 0.0052  | -
ScalObject-bkq.15.log   | Saturate  | √ | 20  | 10  | 2.0  | 3.0  | 0.0058  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.16.log   | Enumerate | - | 20  | 10  | 1.3  | 3.2  | 0.6085  | -
ScalObject-bkq.16.log   | Bound(4)  | - | 20  | 10  | 1.3  | 3.2  | 0.7106  | -
ScalObject-bkq.16.log   | Bound(4)  | √ | 20  | 10  | 1.3  | 1.6  | 0.2525  | -
ScalObject-bkq.16.log   | Bound(2)  | - | 20  | 10  | 1.3  | 3.2  | 0.9788  | -
ScalObject-bkq.16.log   | Bound(2)  | √ | 20  | 10  | 1.3  | 1.6  | 0.2534  | -
ScalObject-bkq.16.log   | Bound(0)  | - | 20  | 10  | 1.3  | 3.2  | 1.2099  | -
ScalObject-bkq.16.log   | Bound(0)  | √ | 20  | 10  | 1.3  | 1.6  | 0.2908  | -
ScalObject-bkq.16.log   | Symbolic  | - | 20  | 10  | 1.3  | 3.2  | 0.3745  | -
ScalObject-bkq.16.log   | Symbolic  | √ | 20  | 10  | 1.3  | 1.6  | 0.0744  | -
ScalObject-bkq.16.log   | Saturate  | - | 20  | 10  | 1.3  | 3.2  | 0.0049  | -
ScalObject-bkq.16.log   | Saturate  | √ | 20  | 10  | 1.3  | 1.6  | 0.0043  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.17.log   | Enumerate | - | 6   | 3   | 1.0  | 1.5  | 0.0545  | √
ScalObject-bkq.17.log   | Bound(4)  | - | 6   | 3   | 1.0  | 1.5  | 0.0607  | √
ScalObject-bkq.17.log   | Bound(4)  | √ | 6   | 3   | 1.0  | 1.5  | 0.049   | √
ScalObject-bkq.17.log   | Bound(2)  | - | 6   | 3   | 1.0  | 1.5  | 0.0571  | √
ScalObject-bkq.17.log   | Bound(2)  | √ | 6   | 3   | 1.0  | 1.5  | 0.0549  | √
ScalObject-bkq.17.log   | Bound(0)  | - | 20  | 10  | 1.0  | 3.6  | 1.2992  | -
ScalObject-bkq.17.log   | Bound(0)  | √ | 20  | 10  | 1.0  | 2.2  | 0.2497  | -
ScalObject-bkq.17.log   | Symbolic  | - | 6   | 3   | 1.0  | 1.5  | 0.0116  | √
ScalObject-bkq.17.log   | Symbolic  | √ | 6   | 3   | 1.0  | 1.5  | 0.0128  | √
ScalObject-bkq.17.log   | Saturate  | - | 6   | 3   | 1.0  | 1.5  | 0.0031  | √
ScalObject-bkq.17.log   | Saturate  | √ | 6   | 3   | 1.0  | 1.5  | 0.0031  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.18.log   | Enumerate | - | 20  | 10  | 1.1  | 4.2  | 0.3535  | -
ScalObject-bkq.18.log   | Bound(4)  | - | 20  | 10  | 1.1  | 4.2  | 0.6157  | -
ScalObject-bkq.18.log   | Bound(4)  | √ | 20  | 10  | 1.1  | 2.4  | 0.2161  | -
ScalObject-bkq.18.log   | Bound(2)  | - | 20  | 10  | 1.1  | 4.2  | 1.0449  | -
ScalObject-bkq.18.log   | Bound(2)  | √ | 20  | 10  | 1.1  | 2.4  | 0.2304  | -
ScalObject-bkq.18.log   | Bound(0)  | - | 20  | 10  | 1.1  | 4.2  | 1.0828  | -
ScalObject-bkq.18.log   | Bound(0)  | √ | 20  | 10  | 1.1  | 2.4  | 0.2453  | -
ScalObject-bkq.18.log   | Symbolic  | - | 20  | 10  | 1.1  | 4.2  | 0.1955  | -
ScalObject-bkq.18.log   | Symbolic  | √ | 20  | 10  | 1.1  | 2.4  | 0.0594  | -
ScalObject-bkq.18.log   | Saturate  | - | 20  | 10  | 1.1  | 4.2  | 0.0062  | -
ScalObject-bkq.18.log   | Saturate  | √ | 20  | 10  | 1.1  | 2.4  | 0.005   | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.19.log   | Enumerate | - | 20  | 10  | 1.0  | 4.4  | 0.3571  | -
ScalObject-bkq.19.log   | Bound(4)  | - | 20  | 10  | 1.0  | 4.4  | 0.6805  | -
ScalObject-bkq.19.log   | Bound(4)  | √ | 20  | 10  | 1.0  | 0.7  | 0.1678  | -
ScalObject-bkq.19.log   | Bound(2)  | - | 20  | 10  | 1.0  | 4.4  | 0.7276  | -
ScalObject-bkq.19.log   | Bound(2)  | √ | 20  | 10  | 1.0  | 0.7  | 0.1589  | -
ScalObject-bkq.19.log   | Bound(0)  | - | 20  | 10  | 1.0  | 4.4  | 1.1659  | -
ScalObject-bkq.19.log   | Bound(0)  | √ | 20  | 10  | 1.0  | 0.7  | 0.1737  | -
ScalObject-bkq.19.log   | Symbolic  | - | 20  | 10  | 1.0  | 4.4  | 0.2003  | -
ScalObject-bkq.19.log   | Symbolic  | √ | 20  | 10  | 1.0  | 0.7  | 0.0258  | -
ScalObject-bkq.19.log   | Saturate  | - | 20  | 10  | 1.0  | 4.4  | 0.0036  | -
ScalObject-bkq.19.log   | Saturate  | √ | 20  | 10  | 1.0  | 0.7  | 0.0042  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.20.log   | Enumerate | - | 11  | 5   | 1.4  | 2.7  | 0.167   | √
ScalObject-bkq.20.log   | Bound(4)  | - | 11  | 5   | 1.4  | 2.7  | 0.108   | √
ScalObject-bkq.20.log   | Bound(4)  | √ | 11  | 5   | 1.4  | 1.9  | 0.1044  | √
ScalObject-bkq.20.log   | Bound(2)  | - | 11  | 5   | 1.4  | 2.7  | 0.1179  | √
ScalObject-bkq.20.log   | Bound(2)  | √ | 11  | 5   | 1.4  | 1.9  | 0.0863  | √
ScalObject-bkq.20.log   | Bound(0)  | - | 20  | 10  | 1.5  | 3.9  | 1.2099  | -
ScalObject-bkq.20.log   | Bound(0)  | √ | 20  | 10  | 1.5  | 2.4  | 0.4335  | -
ScalObject-bkq.20.log   | Symbolic  | - | 11  | 5   | 1.4  | 2.7  | 0.0443  | √
ScalObject-bkq.20.log   | Symbolic  | √ | 11  | 5   | 1.4  | 1.9  | 0.0288  | √
ScalObject-bkq.20.log   | Saturate  | - | 11  | 5   | 1.4  | 2.7  | 0.0037  | √
ScalObject-bkq.20.log   | Saturate  | √ | 11  | 5   | 1.4  | 1.9  | 0.0034  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.21.log   | Enumerate | - | 19  | 9   | 2.3  | 4.1  | 10.007  | -
ScalObject-bkq.21.log   | Bound(4)  | - | 20  | 10  | 2.2  | 4.3  | 1.0655  | -
ScalObject-bkq.21.log   | Bound(4)  | √ | 20  | 10  | 2.2  | 4.0  | 0.7493  | -
ScalObject-bkq.21.log   | Bound(2)  | - | 20  | 10  | 2.2  | 4.3  | 1.4745  | -
